Aae-Bantam_pre	MI0013439
Aca-Mir-21_pre	MI0018814
Aca-Mir-221-P1_pre	MI0018828
Aca-Mir-221-P2_pre	MI0018829
Aca-Mir-223_pre	MI0018830
Aca-Mir-23-P1_pre	MI0018831
Aca-Mir-23-P2_pre	MI0018832
Aca-Mir-24-P1_pre	MI0018833
Aca-Mir-24-P2_pre	MI0018834
Aca-Mir-26-P1_pre	MI0018835
Aca-Mir-26-P3_pre	MI0018836
Aca-Mir-27-P1_pre	MI0018837
Aca-Mir-27-P2_pre	MI0018838
Aca-Mir-29-P1a_pre	MI0018840
Aca-Mir-29-P1b_pre	MI0018841
Aca-Mir-29-P2a_pre	MI0018843
Aca-Mir-29-P2b-v1_pre	MI0018842
Aca-Mir-29-P2b-v2_pre	MI0018842
Aca-Mir-2970_pre	MI0018839
Aca-Mir-30-P1a_pre	MI0018847
Aca-Mir-30-P1b_pre	MI0018851
Aca-Mir-30-P1c_pre	MI0018850
Aca-Mir-30-P2a_pre	MI0018849
Aca-Mir-30-P2c_pre	MI0018848
Aca-Mir-31_pre	MI0018852
Aca-Mir-32_pre	MI0018853
Aca-Mir-33-P1_pre	MI0018854
Aca-Mir-33-P2_pre	MI0018855
Aca-Mir-338-P1_pre	MI0018856
Aca-Mir-34-P1_pre	MI0018858
Aca-Mir-34-P2a_pre	MI0018859
Aca-Mir-34-P2b_pre	MI0018857
Aca-Mir-34-P3a_pre	MI0018867
Aca-Mir-34-P3c_pre	MI0018868
Aca-Mir-34-P3d_pre	MI0018905
Aca-Mir-375_pre	MI0018863
Aca-Mir-383-v1_pre	MI0018864
Aca-Mir-383-v2_pre	MI0018864
Aca-Mir-425_pre	MI0018865
Aca-Mir-430-P2_pre	MI0018846
Aca-Mir-451_pre	MI0018869
Aca-Mir-455_pre	MI0018871
Aca-Mir-456_pre	MI0018872
Aca-Mir-458_pre	MI0018874
Aca-Mir-460-P1_pre	MI0018875
Aca-Mir-460-P2_pre	MI0018876
Aca-Mir-489-v1_pre	MI0018877
Aca-Mir-489-v2_pre	MI0018877
Aca-Mir-490_pre	MI0018878
Aca-Mir-499_pre	MI0018880
Aca-Mir-5396-P1_pre	MI0018898
Aca-Mir-5396-P2_pre	MI0029362
Aca-Mir-5397_pre	MI0018899
Aca-Mir-5399_pre	MI0018901
Aca-Mir-5402_pre	MI0018904
Aca-Mir-5405_pre	MI0018908
Aca-Mir-5406_pre	MI0018909
Aca-Mir-5407_pre	MI0018910
Aca-Mir-5408_pre	MI0018911
Aca-Mir-5412_pre	MI0018915
Aca-Mir-5417_pre	MI0018920
Aca-Mir-5426_pre	MI0018929
Aca-Mir-5435_pre	MI0018968
Aca-Mir-5436_pre	MI0018939
Aca-Mir-5452_pre	MI0018956
Aca-Mir-5464_pre	MI0018972
Aca-Mir-551-P2_pre	MI0018881
Aca-Mir-7-P1_pre	MI0018883
Aca-Mir-7-P2_pre	MI0018884
Aca-Mir-7-P3_pre	MI0018882
Aca-Mir-726_pre	MI0018885
Aca-Mir-727-v1_pre	MI0018886
Aca-Mir-727-v2_pre	MI0018886
Aca-Mir-8-P1a_pre	MI0018802
Aca-Mir-8-P2a_pre	MI0018803
Aca-Mir-8-P3a_pre	MI0018866
Aca-Mir-875_pre	MI0018887
Aca-Mir-9-P2_pre	MI0018888
Aca-Mir-9-P3_pre	MI0018889
Aca-Mir-9-P4_pre	MI0018890
Aca-Mir-92-P1a_pre	MI0018891
Aca-Mir-92-P1b_pre	MI0018892
Aca-Mir-92-P2a_pre	MI0018862
Aca-Mir-92-P2b_pre	MI0018860
Aca-Mir-9572_pre	MI0029360
Aca-Mir-9573_pre	MI0029361
Aca-Mir-9574_pre	MI0029363
Aca-Mir-9576_pre	MI0029365
Aca-Mir-96-P2_pre	MI0018780
Ami-Let-7-P1a_pre	MI0029640
Ami-Let-7-P1b_pre	MI0029645
Ami-Let-7-P1c_pre	MI0029644
Ami-Let-7-P2a1_pre	MI0029639
Ami-Let-7-P2a2_pre	MI0029641
Ami-Let-7-P2a3_pre	MI0029648
Ami-Let-7-P2a4_pre	MI0029647
Ami-Let-7-P2b1_pre	MI0029649
Ami-Let-7-P2b2_pre	MI0029643
Ami-Let-7-P2b3_pre	MI0029707
Ami-Let-7-P2b4_pre	MI0029642
Ami-Let-7-P2c1_pre	MI0029646
Ami-Let-7-P2c2_pre	MI0029651
Ami-Let-7-P2c3_pre	MI0029650
Ami-Mir-1-P1_pre	MI0029652
Ami-Mir-1-P2_pre	MI0029653
Ami-Mir-1-P3_pre	MI0029793
Ami-Mir-1-P4_pre	MI0029654
Ami-Mir-10-P1a-v1_pre	MI0029663
Ami-Mir-10-P1a-v2_pre	MI0029663
Ami-Mir-10-P1b-v1_pre	MI0029664
Ami-Mir-10-P1b-v2_pre	MI0029664
Ami-Mir-10-P1c-v1_pre	MI0029665
Ami-Mir-10-P1c-v2_pre	MI0029665
Ami-Mir-10-P2a_pre	MI0029710
Ami-Mir-10-P2b_pre	MI0029709
Ami-Mir-10-P2c_pre	MI0029708
Ami-Mir-10-P3a_pre	MI0029722
Ami-Mir-10-P3b_pre	MI0029721
Ami-Mir-10-P3c_pre	MI0029723
Ami-Mir-101-P1-v1_pre	MI0029711
Ami-Mir-101-P1-v2_pre	MI0029711
Ami-Mir-101-P2-v1_pre	MI0029712
Ami-Mir-101-P2-v2_pre	MI0029712
Ami-Mir-103-P1_pre	MI0029713
Ami-Mir-103-P2_pre	MI0029715
Ami-Mir-122_pre	MI0029716
Ami-Mir-124-P1-v1_pre	MI0029717
Ami-Mir-124-P1-v2_pre	MI0029717
Ami-Mir-124-P2-v1_pre	MI0029718
Ami-Mir-124-P2-v2_pre	MI0029718
Ami-Mir-124-P3-v1_pre	MI0029719
Ami-Mir-124-P3-v2_pre	MI0029719
Ami-Mir-124-P4-v1_pre	MI0029720
Ami-Mir-124-P4-v2_pre	MI0029720
Ami-Mir-126-v1_pre	MI0029724
Ami-Mir-126-v2_pre	MI0029724
Ami-Mir-126-v3_pre	MI0029724
Ami-Mir-128-P1_pre	MI0029725
Ami-Mir-128-P2_pre	MI0029726
Ami-Mir-129-P1_pre	MI0029727
Ami-Mir-129-P2_pre	MI0029728
Ami-Mir-130-P1a_pre	MI0029729
Ami-Mir-130-P2a_pre	MI0029810
Ami-Mir-130-P2b_pre	MI0029811
Ami-Mir-130-P3a_pre	MI0029731
Ami-Mir-130-P3b_pre	MI0029730
Ami-Mir-130-P4b_pre	MI0029829
Ami-Mir-132-P1_pre	MI0029732
Ami-Mir-132-P2_pre	MI0029796
Ami-Mir-1329_pre	MI0029846
Ami-Mir-133-P1-v1_pre	MI0029734
Ami-Mir-133-P1-v2_pre	MI0029734
Ami-Mir-133-P2-v1_pre	MI0029733
Ami-Mir-133-P2-v2_pre	MI0029733
Ami-Mir-133-P3-v1_pre	MI0029736
Ami-Mir-133-P3-v2_pre	MI0029736
Ami-Mir-133-P4-v1_pre	MI0029735
Ami-Mir-133-P4-v2_pre	MI0029735
Ami-Mir-135-P1_pre	MI0029737
Ami-Mir-135-P2_pre	MI0029738
Ami-Mir-135-P3_pre	MI0029739
Ami-Mir-137-P1-v1_pre	MI0029740
Ami-Mir-137-P1-v2_pre	MI0029740
Ami-Mir-137-P2_pre	MI0029741
Ami-Mir-138-P1_pre	MI0029742
Ami-Mir-138-P2_pre	MI0029743
