Aae-Bantam_pre	MI0013439
Dre-Mir-217-v1_pre	MI0001383
Dre-Mir-217-v2_pre	MI0001383
Dre-Mir-218-P1_pre	MI0002052
Dre-Mir-218-P2-v1_pre	MI0002051
Dre-Mir-218-P2-v2_pre	MI0002051
Dre-Mir-218-P3_pre	MI0002053
Dre-Mir-2184-P1_pre	MI0010834
Dre-Mir-2187_pre	MI0010839
Dre-Mir-2188_pre	MI0010850
Dre-Mir-2189_pre	MI0010851
Dre-Mir-219-P1a_pre	MI0002054
Dre-Mir-219-P2a_pre	MI0001384
Dre-Mir-219-P2b_pre	MI0001385
Dre-Mir-2191_pre	MI0010842
Dre-Mir-22-P1a_pre	MI0001910
Dre-Mir-22-P1b_pre	MI0001912
Dre-Mir-221-P1a_pre	MI0001387
Dre-Mir-221-P2a_pre	MI0001388
Dre-Mir-221-P3_pre	MI0010845
Dre-Mir-223_pre	MI0001389
Dre-Mir-23-P1_pre	MI0001915
Dre-Mir-23-P2a_pre	MI0001917
Dre-Mir-23-P2b_pre	MI0039517
Dre-Mir-23-P3_pre	MI0001913
Dre-Mir-23-P4_pre	MI0001916
Dre-Mir-24-P1_pre	MI0001919
Dre-Mir-24-P2a_pre	MI0001921
Dre-Mir-24-P2b_pre	MI0001920
Dre-Mir-24-P3_pre	MI0001918
Dre-Mir-24-P4_pre	MI0039518
Dre-Mir-26-P1_pre	MI0001923
Dre-Mir-26-P2_pre	MI0001927
Dre-Mir-26-P3a_pre	MI0001925
Dre-Mir-26-P3b_pre	MI0001926
Dre-Mir-27-P1_pre	MI0001930
Dre-Mir-27-P2a_pre	MI0001931
Dre-Mir-27-P2b_pre	MI0001929
Dre-Mir-27-P3_pre	MI0001932
Dre-Mir-27-P4_pre	MI0001928
Dre-Mir-29-P1a_pre	MI0001938
Dre-Mir-29-P2a_pre	MI0001934
Dre-Mir-29-P2b1_pre	MI0001933
Dre-Mir-29-P2b2_pre	MI0039521
Dre-Mir-30-P1a_pre	MI0001950
Dre-Mir-30-P1c_pre	MI0001946
Dre-Mir-30-P1o1_pre	MI0001940
Dre-Mir-30-P2a_pre	MI0001944
Dre-Mir-30-P2c_pre	MI0001941
Dre-Mir-31_pre	MI0003691
Dre-Mir-338-P1a_pre	MI0002063
Dre-Mir-338-P1b_pre	MI0039524
Dre-Mir-338-P2_pre	MI0002064
Dre-Mir-34-P1_pre	MI0001365
Dre-Mir-34-P2a_pre	MI0003690
Dre-Mir-34-P2b_pre	MI0004774
Dre-Mir-375-P1_pre	MI0002072
Dre-Mir-375-P2_pre	MI0002073
Dre-Mir-425_pre	MI0004776
Dre-Mir-430-o1a_pre	MI0001527
Dre-Mir-430-o1b1_pre	MI0002111
Dre-Mir-430-o1b2_pre	MI0002112
Dre-Mir-430-o1b3_pre	MI0002114
Dre-Mir-430-o1b4_pre	MI0002115
Dre-Mir-430-o1b5_pre	MI0002116
Dre-Mir-430-o1b6_pre	MI0002117
Dre-Mir-430-o1b7_pre	MI0002118
Dre-Mir-430-o1b8_pre	MI0002119
Dre-Mir-430-o1c_pre	MI0002120
Dre-Mir-430-o1d1_pre	MI0002113
Dre-Mir-430-o1d2_pre	MI0002121
Dre-Mir-430-o1d3_pre	MI0002122
Dre-Mir-430-o1d4_pre	MI0002123
Dre-Mir-430-o1d5_pre	MI0002124
Dre-Mir-430-o1d6_pre	MI0002125
Dre-Mir-430-o1d7_pre	MI0002126
Dre-Mir-430-o1e1_pre	MI0002139
Dre-Mir-430-o1e2_pre	MI0002140
Dre-Mir-430-o1e3_pre	MI0002141
Dre-Mir-430-o2a10_pre	MI0002155
Dre-Mir-430-o2a11_pre	MI0002156
Dre-Mir-430-o2a12_pre	MI0002157
Dre-Mir-430-o2a13_pre	MI0002158
Dre-Mir-430-o2a14_pre	MI0002170
Dre-Mir-430-o2a1_pre	MI0001528
Dre-Mir-430-o2a2_pre	MI0002142
Dre-Mir-430-o2a3_pre	MI0002143
Dre-Mir-430-o2a4_pre	MI0002166
Dre-Mir-430-o2a5_pre	MI0002150
Dre-Mir-430-o2a6_pre	MI0002151
Dre-Mir-430-o2a7_pre	MI0002152
Dre-Mir-430-o2a8_pre	MI0002153
Dre-Mir-430-o2a9_pre	MI0002154
Dre-Mir-430-o2b_pre	MI0002144
Dre-Mir-430-o2c1_pre	MI0002146
Dre-Mir-430-o2c2_pre	MI0002147
Dre-Mir-430-o2c3_pre	MI0002148
Dre-Mir-430-o2d1_pre	MI0002149
Dre-Mir-430-o2d2_pre	MI0002171
Dre-Mir-430-o3a10_pre	MI0002090
Dre-Mir-430-o3a11_pre	MI0002091
Dre-Mir-430-o3a12_pre	MI0002092
Dre-Mir-430-o3a13_pre	MI0002093
Dre-Mir-430-o3a14_pre	MI0002094
Dre-Mir-430-o3a15_pre	MI0002095
Dre-Mir-430-o3a16_pre	MI0002096
Dre-Mir-430-o3a1_pre	MI0001529
Dre-Mir-430-o3a2_pre	MI0002079
Dre-Mir-430-o3a3_pre	MI0002080
Dre-Mir-430-o3a4_pre	MI0002081
Dre-Mir-430-o3a5_pre	MI0002082
Dre-Mir-430-o3a6_pre	MI0002083
Dre-Mir-430-o3a7_pre	MI0002087
Dre-Mir-430-o3a8_pre	MI0002088
Dre-Mir-430-o3a9_pre	MI0002089
Dre-Mir-451_pre	MI0001732
Dre-Mir-455-P1_pre	MI0002077
Dre-Mir-455-P2_pre	MI0010844
Dre-Mir-456_pre	MI0002176
Dre-Mir-458_pre	MI0002179
Dre-Mir-459_pre	MI0002180
Dre-Mir-460-P1_pre	MI0002181
Dre-Mir-460-P2_pre	MI0004775
Dre-Mir-489-v1_pre	MI0003256
Dre-Mir-489-v2_pre	MI0003256
Dre-Mir-499_pre	MI0004766
Dre-Mir-7-P1_pre	MI0001360
Dre-Mir-7-P2a_pre	MI0001361
Dre-Mir-7-P2b_pre	MI0001362
Dre-Mir-7-o1_pre	MI0001879
Dre-Mir-7132_pre	MI0039522
Dre-Mir-7133_pre	MI0039519
Dre-Mir-7147_pre	MI0023606
Dre-Mir-7148_pre	MI0023607
Dre-Mir-7149_pre	MI0023608
Dre-Mir-722_pre	MI0004765
Dre-Mir-723_pre	MI0004767
Dre-Mir-724_pre	MI0004768
Dre-Mir-725_pre	MI0004769
Dre-Mir-726_pre	MI0004770
Dre-Mir-727-v1_pre	MI0004771
Dre-Mir-727-v2_pre	MI0004771
Dre-Mir-728_pre	MI0004772
Dre-Mir-729_pre	MI0004773
Dre-Mir-732_pre	MI0004777
Dre-Mir-734_pre	MI0004780
Dre-Mir-737_pre	MI0004783
Dre-Mir-8-P1a_pre	MI0002037
Dre-Mir-8-P1b_pre	MI0002004
Dre-Mir-8-P2a_pre	MI0002038
Dre-Mir-8-P2b_pre	MI0002039
Dre-Mir-8-P3a_pre	MI0001720
Dre-Mir-8-P3b_pre	MI0010836
Dre-Mir-9-P1_pre	MI0001880
Dre-Mir-9-P2a_pre	MI0001881
Dre-Mir-9-P2b_pre	MI0001884
Dre-Mir-9-P3a_pre	MI0001885
Dre-Mir-9-P3b_pre	MI0001883
Dre-Mir-9-P4a_pre	MI0001882
Dre-Mir-9-P4b_pre	MI0001886
Dre-Mir-92-P1a1_pre	MI0001951
Dre-Mir-92-P1a2_pre	MI0001952
Dre-Mir-92-P1c1_pre	MI0001953
Dre-Mir-92-P2b1_pre	MI0002067
Dre-Mir-92-P2c_pre	MI0001922
Dre-Mir-96-P1_pre	MI0001955
Dre-Mir-96-P2_pre	MI0001368
Dre-Mir-96-P3-v1_pre	MI0001369
Dre-Mir-96-P3-v2_pre	MI0001369
Gga-Let-7-P1a_pre	MI0001259
Gga-Let-7-P1c_pre	MI0001174
Gga-Let-7-P2a1_pre	MI0001234
Gga-Let-7-P2a2_pre	MI0001171
Gga-Let-7-P2a4_pre	MI0001263
Gga-Let-7-P2b1_pre	MI0001233
Gga-Let-7-P2b2_pre	MI0001172
Gga-Let-7-P2b4_pre	MI0001262
Gga-Let-7-P2c1_pre	MI0001232
Gga-Let-7-P2c2_pre	MI0001168
Gga-Let-7-P2c3_pre	MI0001230
Gga-Mir-1-P1_pre	MI0001247
Gga-Mir-1-P2_pre	MI0001196
Gga-Mir-1-P3_pre	MI0001207
Gga-Mir-1-P4_pre	MI0001254
Gga-Mir-10-P1a-v1_pre	MI0007559
Gga-Mir-10-P1a-v2_pre	MI0007559
Gga-Mir-10-P1b-v1_pre	MI0001216
Gga-Mir-10-P1b-v2_pre	MI0001216
Gga-Mir-10-P2a_pre	MI0001258
Gga-Mir-10-P2c_pre	MI0001173
Gga-Mir-10-P3a_pre	MI0029337
Gga-Mir-10-P3c_pre	MI0001175
Gga-Mir-101-P1-v1_pre	MI0007558
Gga-Mir-101-P1-v2_pre	MI0007558
Gga-Mir-101-P2-v1_pre	MI0001270
Gga-Mir-101-P2-v2_pre	MI0001270
Gga-Mir-103-P1_pre	MI0001236
Gga-Mir-103-P2_pre	MI0001213
Gga-Mir-103-P3_pre	MI0001215
Gga-Mir-10585_pre	MI0040699
Gga-Mir-122-P1_pre	MI0001277
Gga-Mir-122-P2_pre	MI0001280
Gga-Mir-12223_pre	MI0040678
Gga-Mir-12246_pre	MI0040709
Gga-Mir-12265_pre	MI0040730
Gga-Mir-12277_pre	MI0040745
Gga-Mir-124-P2-v1_pre	MI0001197
Gga-Mir-124-P2-v2_pre	MI0001197
Gga-Mir-124-P3-v1_pre	MI0008210
Gga-Mir-124-P3-v2_pre	MI0008210
Gga-Mir-124-P4-v1_pre	MI0001252
Gga-Mir-124-P4-v2_pre	MI0001252
Gga-Mir-126-v1_pre	MI0001244
Gga-Mir-126-v2_pre	MI0001244
Gga-Mir-126-v3_pre	MI0001244
Gga-Mir-128-P1_pre	MI0001217
Gga-Mir-128-P2_pre	MI0001192
Gga-Mir-130-P1b_pre	MI0001239
Gga-Mir-130-P2a_pre	MI0007565
Gga-Mir-130-P2b_pre	MI0001240
Gga-Mir-130-P3a_pre	MI0007560
Gga-Mir-130-P3b_pre	MI0001241
Gga-Mir-130-P4b_pre	MI0006984
Gga-Mir-1329_pre	MI0006979
Gga-Mir-133-P1-v1_pre	MI0001248
Gga-Mir-133-P1-v2_pre	MI0001248
Gga-Mir-133-P2-v1_pre	MI0001195
Gga-Mir-133-P2-v2_pre	MI0001195
Gga-Mir-133-P3-v1_pre	MI0001206
Gga-Mir-133-P3-v2_pre	MI0001206
Gga-Mir-133-P4-v1_pre	MI0001255
Gga-Mir-133-P4-v2_pre	MI0001255
Gga-Mir-135-P1a_pre	MI0001231
Gga-Mir-135-P1b_pre	MI0001231
Gga-Mir-135-P2_pre	MI0001169
Gga-Mir-135-P3_pre	MI0001264
Gga-Mir-137-P1-v1_pre	MI0001221
Gga-Mir-137-P1-v2_pre	MI0001221
Gga-Mir-138-P1_pre	MI0001191
Gga-Mir-138-P2_pre	MI0001228
Gga-Mir-1388_pre	MI0029345
Gga-Mir-1397_pre	MI0006980
Gga-Mir-140-v1_pre	MI0001229
Gga-Mir-140-v2_pre	MI0001229
Gga-Mir-1416_pre	MI0006981
Gga-Mir-142-P3-v1_pre	MI0001281
Gga-Mir-142-P3-v2_pre	MI0001281
Gga-Mir-142-P3-v3_pre	MI0001281
Gga-Mir-142-P3-v4_pre	MI0001281
Gga-Mir-143_pre	MI0039505
Gga-Mir-144_pre	MI0004996
Gga-Mir-1451_pre	MI0007054
Gga-Mir-1452_pre	MI0007056
Gga-Mir-145_pre	MI0029338
Gga-Mir-146-P1_pre	MI0001235
Gga-Mir-146-P2_pre	MI0003695
Gga-Mir-146-P3_pre	MI0007561
Gga-Mir-1467-P1_pre	MI0007072
Gga-Mir-1467-P2_pre	MI0023550
Gga-Mir-147_pre	MI0003696
Gga-Mir-148-P1_pre	MI0001189
Gga-Mir-148-P3_pre	MI0040733
Gga-Mir-15-P1a_pre	MI0001186
Gga-Mir-15-P1b_pre	MI0001223
Gga-Mir-15-P1d_pre	MI0007562
Gga-Mir-15-P2a_pre	MI0001185
Gga-Mir-15-P2b_pre	MI0001222
Gga-Mir-15-P2d_pre	MI0007563
Gga-Mir-153-P2_pre	MI0001188
Gga-Mir-1550_pre	MI0007275
Gga-Mir-1551_pre	MI0007276
Gga-Mir-1552_pre	MI0007277
Gga-Mir-1553_pre	MI0007278
Gga-Mir-1555_pre	MI0007280
Gga-Mir-1559_pre	MI0007284
Gga-Mir-155_pre	MI0001176
Gga-Mir-1560_pre	MI0007285
Gga-Mir-1591_pre	MI0007318
Gga-Mir-1596_pre	MI0007323
Gga-Mir-1601_pre	MI0007328
Gga-Mir-1618_pre	MI0007347
Gga-Mir-1641_pre	MI0007373
Gga-Mir-1651_pre	MI0007383
Gga-Mir-1662_pre	MI0007396
Gga-Mir-1663_pre	MI0007397
Gga-Mir-1668_pre	MI0007402
Gga-Mir-1669_pre	MI0007403
Gga-Mir-1677-P1_pre	MI0007411
Gga-Mir-1677-P2_pre	MI0007349
Gga-Mir-1677-P3_pre	MI0007483
Gga-Mir-1677-P4_pre	MI0007527
Gga-Mir-1677-P5_pre	MI0007548
Gga-Mir-1685_pre	MI0007419
Gga-Mir-1689_pre	MI0007423
Gga-Mir-17-P1a_pre	MI0001184
Gga-Mir-17-P1b_pre	MI0001210
Gga-Mir-17-P2a_pre	MI0001183
Gga-Mir-17-P2b_pre	MI0001209
Gga-Mir-17-P3a_pre	MI0001181
Gga-Mir-17-P3b_pre	MI0001517
Gga-Mir-1720_pre	MI0007457
Gga-Mir-1728_pre	MI0007466
Gga-Mir-1729_pre	MI0007468
Gga-Mir-1731_pre	MI0007470
Gga-Mir-1736_pre	MI0007475
Gga-Mir-1751_pre	MI0007492
Gga-Mir-1774_pre	MI0007517
Gga-Mir-1781_pre	MI0007524
Gga-Mir-1788_pre	MI0007531
Gga-Mir-1805_pre	MI0007550
Gga-Mir-1806_pre	MI0007551
Gga-Mir-181-P1a_pre	MI0001218
Gga-Mir-181-P1b_pre	MI0001243
Gga-Mir-181-P2a_pre	MI0001219
Gga-Mir-181-P2b_pre	MI0001242
Gga-Mir-184_pre	MI0001227
Gga-Mir-187_pre	MI0001193
Gga-Mir-19-P1_pre	MI0001182
Gga-Mir-19-P2a_pre	MI0001180
Gga-Mir-19-P2b_pre	MI0029332
Gga-Mir-190-P1_pre	MI0001224
Gga-Mir-190-P2_pre	MI0029340
Gga-Mir-192-P2_pre	MI0001203
Gga-Mir-193-P1a_pre	MI0007564
Gga-Mir-193-P1b_pre	MI0003698
Gga-Mir-193-P2a_pre	MI0003704
Gga-Mir-193-P2b_pre	MI0003703
Gga-Mir-194-P2_pre	MI0001202
Gga-Mir-196-P1_pre	MI0001268
Gga-Mir-196-P2_pre	MI0001282
Gga-Mir-196-P3e_pre	MI0001190
Gga-Mir-196-P3f_pre	MI0023559
Gga-Mir-196-P3g_pre	MI0023560
Gga-Mir-199-P1-v1_pre	MI0001245
Gga-Mir-199-P1-v2_pre	MI0001245
Gga-Mir-199-P1-v3_pre	MI0001245
Gga-Mir-199-P3-v1_pre	MI0001220
Gga-Mir-199-P3-v2_pre	MI0001220
Gga-Mir-199-P3-v3_pre	MI0001220
Gga-Mir-202_pre	MI0003699
Gga-Mir-203-v1_pre	MI0001214
Gga-Mir-203-v2_pre	MI0001214
Gga-Mir-204-P1_pre	MI0001271
Gga-Mir-204-P2_pre	MI0001225
Gga-Mir-204-P3_pre	MI0003711
Gga-Mir-205-P1_pre	MI0001267
Gga-Mir-205-P2_pre	MI0001238
Gga-Mir-210_pre	MI0029342
Gga-Mir-2131_pre	MI0010736
Gga-Mir-214-v1_pre	MI0008208
Gga-Mir-214-v2_pre	MI0008208
Gga-Mir-216-P1a_pre	MI0001200
Gga-Mir-216-P1b_pre	MI0008205
Gga-Mir-217-v1_pre	MI0001201
Gga-Mir-217-v2_pre	MI0001201
Gga-Mir-218-P1_pre	MI0001212
Gga-Mir-218-P2_pre	MI0001237
Gga-Mir-2188_pre	MI0015374
Gga-Mir-219-P2_pre	MI0001246
Gga-Mir-21_pre	MI0004994
Gga-Mir-22-P1a_pre	MI0006982
Gga-Mir-221-P1_pre	MI0001178
Gga-Mir-221-P2_pre	MI0001177
Gga-Mir-221-P3_pre	MI0022373
Gga-Mir-223_pre	MI0001208
Gga-Mir-23-P2_pre	MI0001273
Gga-Mir-24-P2_pre	MI0001275
Gga-Mir-26-P1_pre	MI0029333
Gga-Mir-26-P3_pre	MI0001187
Gga-Mir-27-P2_pre	MI0001274
Gga-Mir-29-P1a_pre	MI0001166
Gga-Mir-29-P1b_pre	MI0001265
Gga-Mir-29-P2a_pre	MI0001167
Gga-Mir-29-P2b-v1_pre	MI0001266
Gga-Mir-29-P2b-v2_pre	MI0001266
Gga-Mir-2954_pre	MI0013634
Gga-Mir-2984_pre	MI0040662
Gga-Mir-30-P1a_pre	MI0001204
Gga-Mir-30-P1b_pre	MI0001256
Gga-Mir-30-P1c_pre	MI0001198
Gga-Mir-30-P2a_pre	MI0001205
Gga-Mir-30-P2b_pre	MI0001257
Gga-Mir-30-P2c_pre	MI0001199
Gga-Mir-31_pre	MI0001276
Gga-Mir-32_pre	MI0001194
Gga-Mir-33-P1_pre	MI0001170
Gga-Mir-33-P2_pre	MI0029334
Gga-Mir-338-P1_pre	MI0029343
Gga-Mir-34-P1_pre	MI0001251
Gga-Mir-34-P2a_pre	MI0001260
Gga-Mir-34-P2b_pre	MI0001261
Gga-Mir-34-P3a_pre	MI0003715
Gga-Mir-34-P3b_pre	MI0007566
Gga-Mir-34-P3c_pre	MI0007445
Gga-Mir-375_pre	MI0003705
Gga-Mir-383-v1_pre	MI0003706
Gga-Mir-383-v2_pre	MI0003706
Gga-Mir-430-P1_pre	MI0001211
Gga-Mir-430-P2_pre	MI0003700
Gga-Mir-430-P3_pre	MI0003701
Gga-Mir-430-P4_pre	MI0003702
Gga-Mir-451_pre	MI0004995
Gga-Mir-455_pre	MI0003707
Gga-Mir-456_pre	MI0004997
Gga-Mir-458-as_pre	MI0022541
Gga-Mir-458_pre	MI0007567
Gga-Mir-460-P1_pre	MI0004998
Gga-Mir-460-P2_pre	MI0007055
Gga-Mir-489-v1_pre	MI0003708
Gga-Mir-489-v2_pre	MI0003708
Gga-Mir-490_pre	MI0003709
Gga-Mir-499_pre	MI0003710
Gga-Mir-551-P2_pre	MI0006983
Gga-Mir-7-P1a_pre	MI0001272
Gga-Mir-7-P1b_pre	MI0001279
Gga-Mir-7-P2_pre	MI0001226
Gga-Mir-7-P3_pre	MI0001269
Gga-Mir-7441_pre	MI0024107
Gga-Mir-7462_pre	MI0024135
Gga-Mir-7463_pre	MI0024136
Gga-Mir-8-P1a_pre	MI0001249
Gga-Mir-8-P2a_pre	MI0001250
Gga-Mir-8-P3a_pre	MI0003714
Gga-Mir-9-P1_pre	MI0039523
Gga-Mir-9-P2_pre	MI0001283
Gga-Mir-9-P3_pre	MI0029331
Gga-Mir-9-P4_pre	MI0003694
Gga-Mir-92-P1a_pre	MI0001179
Gga-Mir-92-P1b_pre	MI0029335
Gga-Mir-92-P2a_pre	MI0003712
Gga-Mir-92-P2b_pre	MI0029344
Gga-Mir-96-P1_pre	MI0029336
Gga-Mir-96-P2_pre	MI0029339
Gga-Mir-96-P3-v1_pre	MI0001278
Gga-Mir-96-P3-v2_pre	MI0001278
Hme-Bantam_pre	MI0021725
Hme-Let-7_pre	MI0021726
Hme-Mir-10-P1-v1_pre	MI0021727
Hme-Mir-10-P1-v2_pre	MI0021727
Hme-Mir-10-P4_pre	MI0021797
Hme-Mir-1000_pre	MI0021728
Hme-Mir-1175_pre	MI0021730
Hme-Mir-124_pre	MI0021732
Hme-Mir-12_pre	MI0021731
Hme-Mir-133_pre	MI0021733
Hme-Mir-137_pre	MI0021734
Hme-Mir-14_pre	MI0021737
Hme-Mir-184_pre	MI0021738
Hme-Mir-190_pre	MI0021739
Hme-Mir-193-P1_pre	MI0017928
Hme-Mir-193-P2_pre	MI0017927
Hme-Mir-1_pre	MI0021741
Hme-Mir-2-P4e_pre	MI0021735
Hme-Mir-2-P4f_pre	MI0021736
Hme-Mir-2-P7_pre	MI0021729
Hme-Mir-2-P8_pre	MI0021772
Hme-Mir-2-o63-v1_pre	MI0021766
Hme-Mir-2-o63-v2_pre	MI0021766
Hme-Mir-2-o64-v1_pre	MI0021767
Hme-Mir-2-o64-v2_pre	MI0021767
Hme-Mir-2-o65_pre	MI0021768
Hme-Mir-210-P3_pre	MI0021742
Hme-Mir-210-P4_pre	MI0021774
Hme-Mir-216-P2_pre	MI0021764
Hme-Mir-22-P2_pre	MI0021783
Hme-Mir-252-P1_pre	MI0021743
Hme-Mir-252-P2_pre	MI0021758
Hme-Mir-2755_pre	MI0021747
Hme-Mir-2756_pre	MI0021748
Hme-Mir-2763-v1_pre	MI0021750
Hme-Mir-2763-v2_pre	MI0021750
Hme-Mir-2765_pre	MI0021751
Hme-Mir-2767_pre	MI0021752
Hme-Mir-276_pre	MI0021749
Hme-Mir-277_pre	MI0021754
Hme-Mir-278_pre	MI0021755
Hme-Mir-279-o31_pre	MI0021756
Hme-Mir-279-o32_pre	MI0021759
Hme-Mir-279-o33_pre	MI0021761
Hme-Mir-279-o34_pre	MI0021760
Hme-Mir-2796_pre	MI0021757
Hme-Mir-281_pre	MI0021762
Hme-Mir-282_pre	MI0021763
Hme-Mir-29-P1d_pre	MI0021798
Hme-Mir-29-P2_pre	MI0021765
Hme-Mir-3-o7_pre	MI0021746
Hme-Mir-305_pre	MI0021769
Hme-Mir-306_pre	MI0021770
Hme-Mir-316_pre	MI0021773
Hme-Mir-33-P5_pre	MI0021775
Hme-Mir-33-P6_pre	MI0021776
Hme-Mir-3327_pre	MI0021777
Hme-Mir-3338_pre	MI0021778
Hme-Mir-34-P8a_pre	MI0021779
Hme-Mir-34-P8b_pre	MI0021780
Hme-Mir-6301-P1_pre	MI0021801
Hme-Mir-6301-P2_pre	MI0021802
Hme-Mir-6302-P1_pre	MI0021803
Hme-Mir-6302-P2_pre	MI0021804
Hme-Mir-6304_pre	MI0021806
Hme-Mir-6305_pre	MI0021807
Hme-Mir-6307_pre	MI0021809
Hme-Mir-67_pre	MI0021771
Hme-Mir-71_pre	MI0021782
Hme-Mir-76_pre	MI0021796
Hme-Mir-7_pre	MI0021781
Hme-Mir-87_pre	MI0021786
Hme-Mir-8_pre	MI0021785
Hme-Mir-9-o7_pre	MI0021800
Hme-Mir-9-o8_pre	MI0021799
Hme-Mir-9-o9_pre	MI0021784
Hme-Mir-92-o61_pre	MI0021790
Hme-Mir-92-o62_pre	MI0021791
Hme-Mir-927-P1_pre	MI0021787
Hme-Mir-929_pre	MI0021789
Hme-Mir-932_pre	MI0021792
Hme-Mir-96-P2_pre	MI0021745
Hme-Mir-96-P3_pre	MI0021744
Hme-Mir-965_pre	MI0021793
Hme-Mir-970_pre	MI0021794
Hme-Mir-971_pre	MI0021795
Hsa-Let-7-P1a_pre	MI0000061
Hsa-Let-7-P1b_pre	MI0000066
Hsa-Let-7-P1c_pre	MI0000064
Hsa-Let-7-P2a1_pre	MI0000060
Hsa-Let-7-P2a2_pre	MI0000062
Hsa-Let-7-P2a3_pre	MI0000068
Hsa-Let-7-P2b1_pre	MI0000067
Hsa-Let-7-P2b2_pre	MI0000063
Hsa-Let-7-P2b3_pre	MI0000100
Hsa-Let-7-P2c1_pre	MI0000065
Hsa-Let-7-P2c2_pre	MI0000434
Hsa-Let-7-P2c3_pre	MI0000433
Hsa-Mir-1-P1_pre	MI0000651
Hsa-Mir-1-P2_pre	MI0000437
Hsa-Mir-1-P3_pre	MI0000490
Hsa-Mir-10-P1a-v1_pre	MI0000266
Hsa-Mir-10-P1a-v2_pre	MI0000266
Hsa-Mir-10-P1b-v1_pre	MI0000267
Hsa-Mir-10-P1b-v2_pre	MI0000267
Hsa-Mir-10-P2a_pre	MI0000102
Hsa-Mir-10-P2b_pre	MI0000746
Hsa-Mir-10-P2c_pre	MI0000101
Hsa-Mir-10-P3a_pre	MI0000446
Hsa-Mir-10-P3b_pre	MI0000469
Hsa-Mir-10-P3c_pre	MI0000470
Hsa-Mir-101-P1-v1_pre	MI0000103
Hsa-Mir-101-P1-v2_pre	MI0000103
Hsa-Mir-101-P2-v1_pre	MI0000739
Hsa-Mir-101-P2-v2_pre	MI0000739
Hsa-Mir-103-P1_pre	MI0000109
Hsa-Mir-103-P2_pre	MI0000108
Hsa-Mir-103-P3_pre	MI0000114
Hsa-Mir-105-P1_pre	MI0000111
Hsa-Mir-105-P2_pre	MI0000112
Hsa-Mir-1180_pre	MI0006273
Hsa-Mir-122-as_pre	MI0017383
Hsa-Mir-122_pre	MI0000442
Hsa-Mir-124-P1-v1_pre	MI0000443
Hsa-Mir-124-P1-v2_pre	MI0000443
Hsa-Mir-124-P2-v1_pre	MI0000444
Hsa-Mir-124-P2-v2_pre	MI0000444
Hsa-Mir-124-P3-v1_pre	MI0000445
Hsa-Mir-124-P3-v2_pre	MI0000445
Hsa-Mir-1247_pre	MI0006382
Hsa-Mir-1249_pre	MI0006384
Hsa-Mir-1251_pre	MI0006386
Hsa-Mir-1252_pre	MI0006434
Hsa-Mir-126-v1_pre	MI0000471
Hsa-Mir-126-v2_pre	MI0000471
Hsa-Mir-126-v3_pre	MI0000471
Hsa-Mir-1266_pre	MI0006403
Hsa-Mir-1269_pre	MI0006406
Hsa-Mir-1270_pre	MI0006407
Hsa-Mir-1271_pre	MI0003814
Hsa-Mir-1276_pre	MI0006416
Hsa-Mir-1277_pre	MI0006419
Hsa-Mir-1278_pre	MI0006425
Hsa-Mir-127_pre	MI0000472
Hsa-Mir-128-P1_pre	MI0000447
Hsa-Mir-128-P2_pre	MI0000727
Hsa-Mir-1286_pre	MI0006348
Hsa-Mir-1287_pre	MI0006349
Hsa-Mir-129-P1_pre	MI0000252
Hsa-Mir-129-P2_pre	MI0000473
Hsa-Mir-1294_pre	MI0006356
Hsa-Mir-1295_pre	MI0019146
Hsa-Mir-1296_pre	MI0003780
Hsa-Mir-1298_pre	MI0003938
Hsa-Mir-130-P1a_pre	MI0000448
Hsa-Mir-130-P1b_pre	MI0000748
Hsa-Mir-130-P2a_pre	MI0000745
Hsa-Mir-130-P2b_pre	MI0005568
Hsa-Mir-130-P4a_pre	MI0003820
Hsa-Mir-1301_pre	MI0003815
Hsa-Mir-1307_pre	MI0006444
Hsa-Mir-132-P1_pre	MI0000449
Hsa-Mir-132-P2_pre	MI0000288
Hsa-Mir-1323_pre	MI0003786
Hsa-Mir-133-P1-v1_pre	MI0000451
Hsa-Mir-133-P1-v2_pre	MI0000451
Hsa-Mir-133-P2-v1_pre	MI0000450
Hsa-Mir-133-P2-v2_pre	MI0000450
Hsa-Mir-133-P3-v1_pre	MI0000822
Hsa-Mir-133-P3-v2_pre	MI0000822
Hsa-Mir-1343_pre	MI0017320
Hsa-Mir-134_pre	MI0000474
Hsa-Mir-135-P1_pre	MI0000452
Hsa-Mir-135-P2_pre	MI0000453
Hsa-Mir-135-P3_pre	MI0000810
Hsa-Mir-136-v1_pre	MI0000475
Hsa-Mir-136-v2_pre	MI0000475
Hsa-Mir-137-P1-v1_pre	MI0000454
Hsa-Mir-137-P1-v2_pre	MI0000454
Hsa-Mir-138-P1_pre	MI0000476
Hsa-Mir-138-P2_pre	MI0000455
Hsa-Mir-139_pre	MI0000261
Hsa-Mir-140-v1_pre	MI0000456
Hsa-Mir-140-v2_pre	MI0000456
Hsa-Mir-142-v1_pre	MI0000458
Hsa-Mir-142-v2_pre	MI0000458
Hsa-Mir-142-v3_pre	MI0000458
Hsa-Mir-142-v4_pre	MI0000458
Hsa-Mir-143_pre	MI0000459
Hsa-Mir-144_pre	MI0000460
Hsa-Mir-145_pre	MI0000461
Hsa-Mir-146-P1_pre	MI0000477
